geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E07000143,Breckland,68.65,36.99,31.66,13.78,15.21,1.79,2.58,2.22,0.37,19.29,36.64,41.49,40.18,35.48,19.96,4.05,0.32,24.34,59.82,3.51,63.31,30.95,3.49,10.09,2011
E07000144,Broadland,79.39,43.27,36.12,8.56,10.35,1.13,1.18,1.06,0.12,16.0,36.19,46.63,47.57,33.41,16.51,2.38,0.14,19.02,52.43,2.56,66.0,28.87,2.78,11.41,2011
E07000145,Great Yarmouth,64.34,35.7,28.63,17.24,16.46,1.61,3.57,3.13,0.44,26.0,37.74,32.69,32.88,34.57,24.92,6.86,0.77,32.55,67.12,6.06,57.03,34.48,5.33,8.32,2011
E07000146,King's Lynn and West Norfolk,69.4,39.55,29.85,13.33,14.73,2.1,2.7,2.32,0.38,20.25,37.45,39.6,38.46,34.7,21.74,4.69,0.4,26.83,61.54,3.66,61.41,32.73,4.07,10.3,2011
E07000147,North Norfolk,70.13,45.79,24.35,12.82,14.47,2.14,1.85,1.67,0.18,18.21,38.18,41.76,39.16,36.22,20.56,3.76,0.3,24.63,60.84,3.32,58.17,36.76,3.93,13.35,2011
E07000148,Norwich,43.84,20.66,23.18,32.66,21.7,1.08,2.78,2.52,0.25,32.21,35.2,29.81,42.12,31.48,19.88,6.05,0.47,26.41,57.88,5.02,57.84,31.71,4.92,7.18,2011
E07000149,South Norfolk,74.9,40.83,34.07,11.3,11.2,1.58,1.43,1.28,0.15,16.63,35.34,46.6,47.66,32.77,16.68,2.69,0.2,19.58,52.34,2.73,65.5,29.3,2.81,12.23,2011
E07000163,Craven,73.11,42.29,30.82,9.0,15.38,2.03,1.72,1.5,0.22,18.41,37.68,42.2,49.12,32.1,15.42,3.15,0.22,18.78,50.88,2.5,66.67,28.24,2.41,15.04,2011
E07000164,Hambleton,69.54,39.71,29.84,12.92,15.14,1.99,1.4,1.28,0.12,16.86,34.46,47.28,50.5,32.08,14.94,2.35,0.13,17.41,49.5,2.56,67.36,27.87,2.27,13.39,2011
E07000165,Harrogate,71.07,37.4,33.68,9.14,17.52,1.68,2.28,2.07,0.21,19.78,34.42,43.52,52.11,31.4,13.75,2.55,0.19,16.49,47.89,2.57,69.02,25.76,2.27,13.33,2011
E07000166,Richmondshire,63.89,36.1,27.79,10.8,22.36,2.43,2.01,1.81,0.2,18.71,36.0,43.28,49.28,33.25,14.52,2.81,0.14,17.47,50.72,2.89,70.28,24.93,2.17,12.49,2011
E07000167,Ryedale,67.15,41.42,25.73,12.86,16.75,2.88,1.7,1.55,0.15,16.98,36.65,44.66,46.25,33.6,16.99,2.99,0.17,20.14,53.75,2.74,65.95,29.1,2.51,16.64,2011
E07000168,Scarborough,65.78,39.09,26.7,12.41,19.5,1.7,2.53,2.26,0.26,23.7,38.34,35.43,38.84,34.38,21.19,5.03,0.56,26.78,61.16,4.25,58.55,34.19,4.67,11.72,2011
E07000169,Selby,74.98,34.52,40.46,12.04,10.98,1.42,1.99,1.71,0.28,17.57,35.01,45.43,48.99,31.11,16.65,3.03,0.22,19.9,51.01,3.48,67.91,26.06,2.57,10.35,2011
E07000170,Ashfield,69.23,33.28,35.95,16.21,12.77,1.32,2.53,2.31,0.22,22.04,39.45,35.98,37.32,32.23,23.88,6.13,0.45,30.46,62.68,4.7,61.26,31.88,5.58,7.0,2011
E07000171,Bassetlaw,69.47,34.19,35.29,15.9,12.53,1.73,2.09,1.83,0.26,18.51,35.88,43.51,40.15,32.87,21.36,5.28,0.34,26.98,59.85,3.95,61.56,32.11,5.06,8.34,2011
