geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E07000029,Copeland,2011,70.97,37.05,18.56,8.73,1.43,41.33,31.16,21.05,6.06,0.41,27.52,58.67,54.56,-3.49
E07000029,Copeland,2021,70.93,42.19,17.63,11.04,0.08,47.05,33.19,15.19,4.42,0.15,19.77,52.95,54.56,-3.49
E07000030,Eden,2011,70.56,43.61,10.07,15.99,2.46,46.08,33.82,16.62,3.17,0.31,20.1,53.92,54.65,-2.6833
E07000030,Eden,2021,70.54,47.38,10.33,18.09,0.0,51.88,34.78,11.09,2.16,0.09,13.34,48.12,54.65,-2.6833
E07000031,South Lakeland,2011,72.97,44.67,10.42,14.25,1.86,48.43,33.64,14.93,2.81,0.2,17.93,51.57,54.35,-2.7333
E07000031,South Lakeland,2021,71.9,46.99,10.73,16.73,0.06,55.07,33.04,10.15,1.66,0.07,11.88,44.93,54.35,-2.7333
E07000032,Amber Valley,2011,74.1,38.23,12.33,11.79,1.37,43.43,31.22,20.5,4.56,0.3,25.35,56.57,53.0167,-1.4667
E07000032,Amber Valley,2021,72.01,40.96,12.74,14.63,0.09,48.9,33.57,13.97,3.42,0.13,17.53,51.1,53.0167,-1.4667
E07000033,Bolsover,2011,66.96,32.59,18.19,13.04,1.54,35.64,31.11,26.04,6.87,0.34,33.24,64.36,53.2333,-1.2833
E07000033,Bolsover,2021,65.97,35.14,16.34,17.17,0.18,42.72,34.49,17.92,4.74,0.13,22.79,57.28,53.2333,-1.2833
E07000034,Chesterfield,2011,63.14,32.19,23.15,12.42,0.96,39.59,31.64,22.37,5.99,0.41,28.78,60.41,53.235,-1.421
E07000034,Chesterfield,2021,62.58,35.89,20.74,16.19,0.16,44.71,34.2,16.41,4.47,0.21,21.08,55.29,53.235,-1.421
E07000035,Derbyshire Dales,2011,72.43,43.95,12.15,12.56,2.11,48.6,31.73,16.5,2.94,0.23,19.67,51.4,53.15,-1.6667
E07000035,Derbyshire Dales,2021,71.95,47.72,12.62,14.4,0.03,52.93,33.34,11.68,1.94,0.11,13.73,47.07,53.15,-1.6667
E07000036,Erewash,2011,72.48,33.9,13.01,12.87,1.15,42.99,31.39,20.39,4.84,0.39,25.61,57.01,52.9167,-1.3
E07000036,Erewash,2021,69.87,37.52,12.71,16.83,0.06,48.04,33.88,14.23,3.69,0.16,18.08,51.96,52.9167,-1.3
E07000037,High Peak,2011,72.05,35.16,12.7,13.43,1.24,47.33,30.96,17.21,4.2,0.3,21.71,52.67,53.3667,-1.9833
E07000037,High Peak,2021,70.95,40.14,12.16,16.05,0.14,52.05,32.76,12.32,2.75,0.12,15.19,47.95,53.3667,-1.9833
E07000038,North East Derbyshire,2011,70.89,38.24,20.39,7.39,0.94,42.1,32.13,21.05,4.45,0.27,25.77,57.9,53.3,-1.4333
E07000038,North East Derbyshire,2021,70.51,41.23,18.69,10.02,0.19,47.0,34.3,15.04,3.52,0.14,18.71,53.0,53.3,-1.4333
E07000039,South Derbyshire,2011,75.44,33.95,9.94,13.05,1.23,48.87,30.21,17.15,3.54,0.22,20.91,51.13,52.8333,-1.55
E07000039,South Derbyshire,2021,74.51,36.23,9.87,14.7,0.11,54.26,31.62,11.71,2.34,0.08,14.12,45.74,52.8333,-1.55
E07000040,East Devon,2011,74.97,47.12,9.34,13.61,1.55,44.44,35.32,17.11,2.89,0.23,20.24,55.56,50.7333,-3.3167
E07000040,East Devon,2021,72.16,46.76,10.33,16.02,0.08,50.74,35.37,11.69,2.07,0.13,13.89,49.26,50.7333,-3.3167
E07000041,Exeter,2011,59.79,30.07,17.03,20.99,1.23,44.42,32.74,17.48,4.74,0.62,22.84,55.58,50.7184,-3.5339
E07000041,Exeter,2021,57.22,31.15,16.61,24.94,0.12,49.82,33.18,13.37,3.39,0.25,17.0,50.18,50.7184,-3.5339
E07000042,Mid Devon,2011,69.07,37.26,12.62,15.54,1.83,45.12,33.65,17.22,3.68,0.33,21.23,54.88,50.8667,-3.6
E07000042,Mid Devon,2021,67.63,39.6,12.64,18.56,0.15,49.12,35.08,13.04,2.63,0.13,15.8,50.88,50.8667,-3.6
E07000043,North Devon,2011,68.46,39.09,10.79,18.35,1.72,41.86,34.55,18.96,4.21,0.42,23.59,58.14,51.0667,-3.9833
E07000043,North Devon,2021,67.32,41.8,11.14,20.4,0.04,47.93,35.01,13.91,2.94,0.21,17.06,52.07,51.0667,-3.9833
E07000044,South Hams,2011,71.73,42.8,11.38,14.27,1.53,47.78,33.49,15.48,3.0,0.25,18.73,52.22,50.3833,-3.7833
E07000044,South Hams,2021,70.46,45.02,11.83,16.08,0.04,52.99,33.51,11.26,2.11,0.13,13.5,47.01,50.3833,-3.7833
E07000045,Teignbridge,2011,73.47,40.77,8.91,15.48,1.22,44.2,33.54,18.14,3.73,0.39,22.27,55.8,50.55,-3.6167
E07000045,Teignbridge,2021,71.29,43.27,9.52,17.85,0.04,49.42,34.95,12.97,2.48,0.18,15.63,50.58,50.55,-3.6167
E07000046,Torridge,2011,71.46,42.87,9.02,16.96,1.86,40.32,35.29,19.46,4.36,0.58,24.39,59.68,50.95,-4.15
E07000046,Torridge,2021,69.56,45.54,9.35,20.2,0.03,46.13,35.95,14.74,2.98,0.2,17.92,53.87,50.95,-4.15
E07000047,West Devon,2011,73.18,44.02,9.5,15.0,1.67,45.25,33.71,17.08,3.66,0.31,21.05,54.75,50.5667,-4.1167
E07000047,West Devon,2021,70.96,46.62,10.05,18.24,0.04,49.3,35.19,12.8,2.5,0.21,15.51,50.7,50.5667,-4.1167
E07000061,Eastbourne,2011,61.73,33.48,13.23,23.31,1.07,39.21,34.59,20.27,5.21,0.72,26.2,60.79,50.7682,0.2898
E07000061,Eastbourne,2021,59.7,35.75,13.02,26.57,0.12,43.2,35.96,16.19,4.13,0.52,20.84,56.8,50.7682,0.2898
E07000062,Hastings,2011,55.17,26.9,14.55,28.82,0.99,36.34,33.58,21.85,7.29,0.94,30.08,63.66,50.8543,0.573
E07000062,Hastings,2021,56.58,31.26,14.27,28.61,0.04,42.04,35.04,17.31,5.13,0.48,22.92,57.96,50.8543,0.573
E07000063,Lewes,2011,72.66,39.82,10.93,14.48,1.26,44.36,33.65,17.95,3.69,0.36,21.99,55.64,50.874,0.0113
E07000063,Lewes,2021,71.12,42.4,10.93,16.9,0.11,47.92,35.03,13.68,3.13,0.24,17.05,52.08,50.874,0.0113
E07000064,Rother,2011,73.54,45.39,10.38,14.05,1.5,40.25,35.75,19.93,3.76,0.31,23.99,59.75,50.9167,0.5167
E07000064,Rother,2021,72.69,48.44,10.2,16.22,0.01,45.72,36.76,14.52,2.83,0.17,17.52,54.28,50.9167,0.5167
