geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E07000176,Rushcliffe,75.7,41.11,8.57,14.66,0.03,58.39,30.53,9.53,1.51,0.04,11.08,41.61,2021
E07000177,Cherwell,65.01,32.52,13.27,19.78,0.04,54.11,32.56,10.87,2.32,0.14,13.33,45.89,2021
E07000178,Oxford,45.32,25.33,20.92,32.15,0.17,52.2,32.19,12.15,3.2,0.26,15.62,47.8,2021
E07000179,South Oxfordshire,70.24,37.69,12.01,15.91,0.03,58.66,30.91,8.8,1.55,0.07,10.43,41.34,2021
E07000180,Vale of White Horse,68.19,36.2,14.27,15.66,0.04,58.15,30.98,9.13,1.65,0.09,10.87,41.85,2021
E07000181,West Oxfordshire,66.79,37.44,13.26,17.86,0.02,56.62,31.84,9.7,1.76,0.08,11.55,43.38,2021
E07000187,Mendip,68.68,41.07,12.03,18.05,0.04,51.42,34.01,12.05,2.41,0.12,14.58,48.58,2021
E07000188,Sedgemoor,68.31,39.23,12.78,17.9,0.1,47.47,35.14,14.06,3.16,0.17,17.38,52.53,2021
E07000189,South Somerset,67.93,41.29,14.13,16.77,0.06,50.46,34.4,12.45,2.55,0.14,15.14,49.54,2021
E07000192,Cannock Chase,67.09,33.87,16.18,15.79,0.25,45.57,33.82,16.35,4.11,0.15,20.6,54.43,2021
E07000193,East Staffordshire,66.83,36.45,12.93,19.48,0.06,49.36,33.94,13.41,3.11,0.18,16.7,50.64,2021
E07000194,Lichfield,73.26,41.42,13.0,12.75,0.02,52.01,32.8,12.63,2.43,0.13,15.19,47.99,2021
E07000195,Newcastle-under-Lyme,67.67,38.25,17.11,14.48,0.08,46.76,34.11,15.33,3.64,0.15,19.12,53.24,2021
E07000196,South Staffordshire,74.5,44.04,14.03,10.57,0.03,50.29,33.64,13.39,2.61,0.08,16.07,49.71,2021
E07000197,Stafford,70.0,39.09,13.57,15.55,0.05,52.98,32.7,11.78,2.4,0.13,14.31,47.02,2021
E07000198,Staffordshire Moorlands,78.25,48.17,8.62,12.69,0.06,49.33,34.16,13.75,2.71,0.05,16.51,50.67,2021
E07000199,Tamworth,66.99,33.34,18.01,14.11,0.17,45.7,34.6,15.88,3.7,0.12,19.7,54.3,2021
E07000200,Babergh,71.04,43.43,13.27,14.82,0.15,51.18,34.77,11.64,2.32,0.09,14.05,48.82,2021
E07000202,Ipswich,55.44,28.25,20.78,22.96,0.22,45.2,34.63,15.68,4.23,0.26,20.18,54.8,2021
E07000203,Mid Suffolk,73.87,43.19,11.3,13.71,0.11,52.17,34.1,11.6,2.04,0.09,13.73,47.83,2021
E07000207,Elmbridge,71.31,33.84,10.09,17.5,0.05,61.87,28.11,8.35,1.58,0.1,10.02,38.13,2021
E07000208,Epsom and Ewell,73.97,36.28,8.76,16.12,0.02,57.59,30.57,9.76,1.9,0.18,11.84,42.41,2021
E07000209,Guildford,66.33,34.55,12.67,19.6,0.09,57.72,30.67,9.53,1.93,0.16,11.61,42.28,2021
E07000210,Mole Valley,73.21,40.76,11.65,14.1,0.01,56.71,30.99,9.93,2.14,0.23,12.3,43.29,2021
E07000211,Reigate and Banstead,71.13,33.74,11.54,15.68,0.03,57.06,30.83,9.89,2.06,0.16,12.11,42.94,2021
E07000212,Runnymede,66.42,32.81,12.91,19.09,0.11,53.4,32.45,11.79,2.22,0.14,14.15,46.6,2021
E07000213,Spelthorne,68.1,33.44,12.67,17.91,0.05,50.91,33.56,12.58,2.74,0.21,15.53,49.09,2021
E07000214,Surrey Heath,74.01,36.54,9.58,15.36,0.04,57.92,31.08,9.15,1.74,0.11,10.99,42.08,2021
E07000215,Tandridge,74.47,37.41,11.06,13.28,0.04,55.97,31.64,10.11,2.13,0.14,12.39,44.03,2021
E07000216,Waverley,71.76,38.21,12.25,14.69,0.07,59.54,29.94,8.79,1.65,0.09,10.52,40.46,2021
E07000217,Woking,66.44,31.98,11.56,21.09,0.09,56.21,31.01,10.35,2.24,0.18,12.78,43.79,2021
E07000218,North Warwickshire,70.39,38.28,13.6,14.9,0.16,47.25,34.93,14.47,3.22,0.13,17.82,52.75,2021
E07000219,Nuneaton and Bedworth,68.05,35.04,14.42,16.61,0.11,45.05,34.6,15.95,4.13,0.27,20.35,54.95,2021
